NAMA_HOTEL;BINTANG_HOTEL
ASTON Inn Mataram;3
ASTON Sunset Beach Resort Gili Trawangan ;4
Favehotel Langko;3
Gili Bagaz Cottages Lombok;2
Sunwood Arianz Hotel Managed by BENCOOLEN Lombok;3
Lombok Plaza Hotel dan Convention Cakranegara;3
Gili Khayangan Villas Lombok;3
Jeeva Klui Resort Lombok;3
Jeeva Klui Resort Lombok;4
Idoop Hotel Lombok;3
RedDoorz near Mataram University Lombok;2
Anema Wellnes Resort Gili Lombok;5
Holiday Resort Lombok;4
Lombok Garden Hotel Lombok;3
Gili Sands Beach Club Lombok;3
Central Inn Senggigi Lombok;3
Grand Madani Hotel Syariah Lombok;3
Santika Mataram Lombok;3
Amarsvati Luxury Resort Condotel dan Villas Malimbu Lombok;5
RedDoorz Syariah near Lombok Epicentrum Mall;2
SAME Hotel Lombok;2
M Hotel Lombok;2
RedDoorz Jalan Pendidikan Mataram Lombok;2
Aruna Senggigi Resort ;4
Katamaran Hotel dan Resort Lombok;5
Kebun Villas and Resort Lombok;4
Hotel Palapa Mataram;1
Citilike Hotel Lombok;3
Lombok Astoria Mataram;4
Sheraton Senggigi Beach Resort;5
Origin Lombok;4
Lombok Raya Hotel;4
Svarga Resort Lombok;4
Montana Premier Senggigi Lombok;4
Batatu Villa Lombok;4
Hastina Hotel Lombok;
Jayakarta Hotel Lombok;4
Pandora Hotel Lombok;2
Natya Hotel Gili Trawangan Lombok;3
Golden Palace Hotel Lombok;4
Jambuluwuk Oceano Gili Trawangan Resort Lombok;5
Puri Saron Senggigi Beach Resort Lombok;3
Melati Cottage Lombok;
Puri Rinjani Bungalows Lombok;3
Marc Hotel Gili Trawangan Lombok;4
Les Villas Ottalia Gili Meno Lombok;3
Mola2 Resort Gili Air Lombok;3
Hotel Zaitun Selaparang Lombok;1
Royal Regantris Villa Karang Lombok;3
Nirvana Gili Sudak Resort Lombok;1
Krisna Bungalow and Restaurant Lombok;1
Segara Anak Lombok;3
DeKa Homestay Mataram;2
Bleu Verde hotel Turtle Point Beach Lombok;3
Merumatta Senggigi Lombok;5
Sudamala Resort Senggigi Lombok ;5
Joje Bungalow Lombok;2
Pratama Hotel and Convention Lombok;3
Hotel Lumi Gili Trawangan Lombok;4
Puri Bunga Beach Cottage Lombok;3
Panda Hostel Lombok;3
Sari Gili Bungalow Lombok;4
Intan Inn Hostel Lombok;1
Coral Beach 2 Bungalow Lombok;3
Nutana Hotel Lombok;3
Cozy Cottages Lombok;3
Pondok Santi Estate Lombok;4
